"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.36542,0.25561,0.081542,2.4389,-1,0,0,0,0.29149,0.37974,-0.001409,0.49939,0.52425,-0.020974,-0.017642,-0.017683,-0.011017,-0.0014676,-0.0003513,1
0.36542,0.25561,0.081542,2.4389,-0.999,0,0,0.00099999,0.29149,0.37974,-0.001409,0.49939,0.52425,-0.020974,-0.017642,-0.017683,-0.011017,-0.0014676,-0.0003513,1
0.33516,0.23069,0.083194,1.99,-0.998,0,0,0.002,0.30255,0.38593,-0.0026772,0.49529,0.52701,-0.033842,-0.028473,-0.021866,-0.013106,-0.0022329,-0.00054551,1
0.33516,0.23069,0.083194,1.99,-0.997,0,0,0.003,0.30255,0.38593,-0.0026772,0.49529,0.52701,-0.033842,-0.028473,-0.021866,-0.013106,-0.0022329,-0.00054551,1
0.29695,0.20509,0.085499,1.5233,-0.996,0,0,0.004,0.31335,0.39175,-0.0026621,0.50269,0.5319,-0.044264,-0.03763,-0.025742,-0.016132,-0.0027975,-0.00079339,1
0.29695,0.20509,0.085499,1.5233,-0.995,0,0,0.005,0.31335,0.39175,-0.0026621,0.50269,0.5319,-0.044264,-0.03763,-0.025742,-0.016132,-0.0027975,-0.00079339,1
0.25362,0.17824,0.08815,1.0901,-0.994,0,0,0.006,0.32358,0.39708,-0.001776,0.51681,0.53787,-0.051949,-0.044854,-0.028021,-0.01898,-0.0031486,-0.0010234,1
0.25362,0.17824,0.08815,1.0901,-0.993,0,0,0.007,0.32358,0.39708,-0.001776,0.51681,0.53787,-0.051949,-0.044854,-0.028021,-0.01898,-0.0031486,-0.0010234,1
0.20801,0.14959,0.090841,0.72264,-0.992,0,0,0.008,0.33292,0.4018,-0.00043126,0.5329,0.54386,-0.05661,-0.049888,-0.027414,-0.020535,-0.0032731,-0.0011642,1
0.20801,0.14959,0.090841,0.72264,-0.991,0,0,0.009,0.33292,0.4018,-0.00043126,0.5329,0.54386,-0.05661,-0.049888,-0.027414,-0.020535,-0.0032731,-0.0011642,1
0.16296,0.11859,0.093266,0.43555,-0.99,0,0,0.01,0.34107,0.40582,0.00095979,0.54617,0.54882,-0.057959,-0.052473,-0.022634,-0.019684,-0.0031582,-0.0011442,1
0.16296,0.11859,0.093266,0.43555,-0.989,0,0,0.011,0.34107,0.40582,0.00095979,0.54617,0.54882,-0.057959,-0.052473,-0.022634,-0.019684,-0.0031582,-0.0011442,1
0.12132,0.084688,0.095117,0.23014,-0.988,0,0,0.012,0.3477,0.409,0.0019848,0.55186,0.55171,-0.055706,-0.052349,-0.012392,-0.015312,-0.0027909,-0.00089187,1
0.12132,0.084688,0.095117,0.23014,-0.987,0,0,0.013,0.3477,0.409,0.0019848,0.55186,0.55171,-0.055706,-0.052349,-0.012392,-0.015312,-0.0027909,-0.00089187,1
